1000,0.0126341,-14,1769,
2000,0.010684,-14,1769,
3000,0.00716741,-14,1970.5,
4000,0.0094092,-14,1970.5,
5000,0.0081201,-16,1837,
6000,0.00740693,-16,1837,
7000,0.0210807,-15.75,1960.5,
8000,0.0147676,-15.75,1960.5,
9000,0.00792471,-15.6,1917.6,
10000,0.00685608,-15.6,1917.6,
11000,0.0130421,-15.8333,1893.67,
12000,0.010951,-15.8333,1893.67,
13000,0.0104499,-16.1429,1886.43,
14000,0.0118668,-16.1429,1886.43,
15000,0.00395321,-16.25,1882.88,
16000,0.0137387,-16.2222,1875.33,
17000,0.00977255,-16.2222,1875.33,
18000,0.00798954,-15.9,1872.3,
19000,0.0119472,-15.9,1872.3,
20000,0.00453236,-15.8182,1892.91,
21000,0.00748494,-15.8182,1892.91,
22000,0.0134515,-15.8333,1878.75,
23000,0.00649054,-15.8333,1878.75,
24000,0.0104648,-15.7692,1891,
25000,0.0066456,-15.7692,1891,
26000,0.00961704,-15.9286,1859.43,
27000,0.0116012,-15.9333,1863.13,
28000,0.00832042,-15.9333,1863.13,
29000,0.00198954,-16,1865.06,
30000,0.0102255,-16,1865.06,
31000,0.00756448,-15.8824,1866.82,
32000,0.0110851,-15.8824,1866.82,
33000,0.00826333,-15.8333,1882.39,
34000,0.0116051,-15.8333,1882.39,
35000,0.00638457,-15.9474,1860.11,
36000,0.00858295,-15.9474,1860.11,
37000,0.0116061,-15.95,1852.5,
38000,0.00626379,-15.9524,1849.43,
39000,0.0101962,-15.9524,1849.43,
40000,0.00845939,-16.1818,1831.59,
41000,0.012187,-16.1739,1821.65,
42000,0.00219573,-16.1739,1821.65,
43000,0.0189204,-16.2917,1812.75,
44000,0.00487259,-16.2917,1812.75,
45000,0.00509381,-16.32,1800.96,
46000,0.00850193,-16.32,1800.96,
47000,0.0165627,-16.1923,1829.46,
48000,0.00579468,-16.1923,1829.46,
49000,0.00375487,-16.3704,1816.74,
50000,0.0176739,-16.4643,1817.71,
51000,0.00463486,-16.4643,1817.71,
52000,0.00654737,-16.3793,1823.14,
53000,0.00748292,-16.3793,1823.14,
54000,0.00802816,-16.3793,1823.14,
55000,0.0122074,-16.3667,1836.9,
56000,0.0157166,-16.3667,1836.9,
57000,0.00772471,-16.3548,1849.13,
58000,0.0140801,-16.4062,1843.16,
59000,0.00779914,-16.4062,1843.16,
60000,0.0101759,-16.4242,1843.15,
61000,0.00708582,-16.4242,1843.15,
62000,0.0173377,-16.4242,1843.15,
